Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ;3.464.808
1,12E+10;3.280.981.411.410.330
1,26E+11;31.083.411.533.834.600
1,41E+11;29.464.732.665.675.900
1,58E+11;2.793.029.548.304.290
1,78E+10;2.648.516.256.789.510
2,00E+11;25.126.827.390.769.000
2,24E+10;2.386.771.606.980.310
2,51E+10;2.267.487.544.666.240
2,82E+10;21.557.487.629.920.500
3,16E+11;20.508.494.886.735.300
3,55E+11;19.534.121.846.923.300
3,98E+11;18.622.574.196.437.700
4,47E+10;17.767.810.843.661.700
5,01E+10;16.961.859.012.608.200
5,62E+10;1.621.905.681.959.650
6,31E+10;1.553.238.969.699.560
7,08E+10;1.489.491.007.941.640
7,94E+10;14.298.476.741.174.000
8,91E+10;13.746.433.895.972.200
1.0E-4 ;1.323.472
1,12E+11;12.766.880.423.110.700
1,26E+11;12.337.601.232.448.900
1,41E+11;1.194.519.926.328.820
1,58E+12;11.582.672.553.480.000
1,78E+12;11.250.897.024.920.400
2,00E+12;10.948.600.099.708.100
2,24E+12;10.678.139.195.402.700
2,51E+12;10.430.262.391.435.100
2,82E+12;10.206.487.039.879.700
3,16E+12;10.004.262.174.320.000
3,55E+11;9.824.015.752.365.040
3,98E+11;9.662.089.301.923.550
4,47E+12;9.516.269.282.156.890
5,01E+10;9.384.087.307.731.950
5,62E+11;9.267.544.056.122.040
6,31E+10;9.164.249.451.535.680
7,08E+11;9.072.100.002.644.900
7,94E+11;8.989.004.677.510.750
8,91E+10;8.914.896.743.623.610
0.001 ;8.848.571
0.001122018454301963 ;8.789.999.225.714.220
0.0012589254117941662 ;873.789.720.648.675
0.001412537544622754 ;8.691.619.370.517.400
0.0015848931924611126 ;864.990.391.453.184
0.0017782794100389228 ;8.612.590.195.813.900
0.001995262314968879 ;8.579.286.856.408.130
0.0022387211385683377 ;8.550.037.513.133.460
0.0025118864315095794 ;8.523.595.349.943.530
0.002818382931264452 ;850.000.007.866.036
0.0031622776601683794 ;847.886.153.479.986
0.0035481338923357532 ;8.460.134.438.537.570
0.003981071705534969 ;844.335.998.216.174
0.0044668359215096305 ;8.428.257.056.908.530
0.005011872336272719 ;8.414.536.244.036.290
0.005623413251903491 ;840.237.280.039.865
0.00630957344480193 ;8.391.500.911.477.910
0.00707945784384138 ;8.381.691.436.486.220
0.007943282347242814 ;8.372.722.489.466.460
0.00891250938133745 ;8.364.574.871.238.540
0.01 ;8.357.117
0.01122018454301963 ;8.350.335.091.679.730
0.012589254117941668 ;8.344.085.980.343.320
0.01412537544622754 ;8.338.292.131.892.820
0.015848931924611134 ;8.332.812.257.737.890
