Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ;4.953.917
1,12E+10;4.677.158.217.001.510
1,26E+11;4.416.395.424.371.180
1,41E+11;4.171.005.401.221.050
1,58E+11;3.937.490.688.513.320
1,78E+10;37.165.888.969.287.200
2,00E+11;35.079.139.616.666.200
2,24E+10;3.313.314.844.885.810
2,51E+10;31.278.607.880.394.200
2,82E+10;2.952.913.665.988.800
3,16E+11;2.787.407.351.177.920
3,55E+11;26.322.757.735.429.100
3,98E+11;2.485.740.327.605.370
4,47E+10;23.468.793.855.922.100
5,01E+10;22.144.684.472.781.600
5,62E+10;20.907.111.588.883.200
6,31E+10;1.974.555.589.951.400
7,08E+10;18.649.487.879.816.500
7,94E+10;17.606.320.373.331.900
8,91E+10;16.621.548.889.100.500
1.0E-4 ;1.568.902
1,12E+11;14.815.001.387.338.000
1,26E+11;139.915.914.500.678
1,41E+11;13.216.828.526.387.700
1,58E+12;12.479.651.828.277.700
1,78E+12;11.782.386.933.765.600
2,00E+12;1.112.380.435.939.780
2,24E+12;1.050.974.943.108.150
2,51E+12;9.924.620.622.734.150
2,82E+12;9.372.723.504.786.680
3,16E+12;8.850.680.727.962.650
3,55E+11;8.361.435.824.646.550
3,98E+11;7.899.357.609.984.200
4,47E+12;746.153.416.929.918
5,01E+10;7.044.090.919.636.340
5,62E+11;665.397.721.591.691
6,31E+10;6.287.861.993.580.980
7,08E+11;5.942.419.833.677.130
7,94E+11;5.613.673.386.920.900
8,91E+10;5.303.354.638.168.320
0.001 ;5.009.515
0.001122018454301963 ;47.341.240.163.079.700
0.0012589254117941662 ;4.474.689.040.106.020
0.001412537544622754 ;4.230.581.887.761.610
0.0015848931924611126 ;39.983.153.579.497.500
0.0017782794100389228 ;37.786.194.878.602.100
0.001995262314968879 ;3.571.106.553.113.340
0.0022387211385683377 ;33.776.202.907.192.800
0.0025118864315095794 ;3.193.258.051.570.610
0.002818382931264452 ;3.019.377.220.786.780
0.0031622776601683794 ;28.549.125.416.703.300
0.0035481338923357532 ;27.007.769.785.328.800
0.003981071705534969 ;2.555.180.833.853.640
0.0044668359215096305 ;2.417.204.982.856.840
0.005011872336272719 ;22.856.513.534.850.100
0.005623413251903491 ;2.162.743.011.066.100
0.00630957344480193 ;20.474.360.730.819.300
0.00707945784384138 ;1.938.643.469.053.690
0.007943282347242814 ;18.350.826.279.732.800
0.00891250938133745 ;17.373.110.551.542.700
0.01 ;1.644.767
0.01122018454301963 ;15.581.314.861.839.100
0.012589254117941668 ;14.766.056.285.514.000
0.01412537544622754 ;1.399.894.213.029.390
0.015848931924611134 ;13.268.551.191.750.900
