Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 30933.41
1.0232929922807536E-5 ; 30589.173115999343
1.0471285480508985E-5 ; 30236.917924916914
1.071519305237607E-5 ; 29887.726737123783
1.0964781961431852E-5 ; 29550.054906995312
1.122018454301963E-5 ; 29204.51768953423
1.1481536214968817E-5 ; 28875.997060821777
1.1748975549395302E-5 ; 28543.12708859184
1.2022644346174132E-5 ; 28216.462465732973
1.230268770812381E-5 ; 27894.38123463431
1.2589254117941661E-5 ; 27575.505405927106
1.2882495516931348E-5 ; 27273.424538206273
1.3182567385564074E-5 ; 26964.307303165482
1.3489628825916533E-5 ; 26647.989802755037
1.3803842646028839E-5 ; 26331.390874948996
1.4125375446227526E-5 ; 26042.484651052077
1.445439770745928E-5 ; 25746.848936712027
1.4791083881682072E-5 ; 25444.32698195997
1.5135612484362071E-5 ; 25149.101846897123
1.5488166189124797E-5 ; 24869.611371909425
1.584893192461114E-5 ; 24583.610727445273
1.62181009735893E-5 ; 24290.948272177346
1.6595869074375598E-5 ; 24021.39895881817
1.6982436524617425E-5 ; 23748.395747838586
1.7378008287493764E-5 ; 23469.033475173004
1.778279410038923E-5 ; 23203.484472124284
1.8197008586099827E-5 ; 22940.720057253024
1.8620871366628657E-5 ; 22671.83507289451
1.9054607179632484E-5 ; 22415.09497375045
1.9498445997580456E-5 ; 22160.359897932663
1.9952623149688786E-5 ; 21899.691279960214
2.0417379446695274E-5 ; 21655.989359251806
2.089296130854041E-5 ; 21409.286905521527
2.1379620895022323E-5 ; 21156.838013440887
2.187761623949552E-5 ; 20919.725005428092
2.238721138568338E-5 ; 20680.980637133813
2.290867652767775E-5 ; 20436.675198111763
2.344228815319923E-5 ; 20209.34013743476
2.39883291901949E-5 ; 19976.794965678106
2.4547089156850286E-5 ; 19745.451436489177
2.511886431509577E-5 ; 19522.83665172615
2.5703957827688645E-5 ; 19295.036502500043
2.6302679918953814E-5 ; 19077.13868798332
2.691534803926914E-5 ; 18857.95697525968
2.7542287033381633E-5 ; 18640.98537189175
2.818382931264455E-5 ; 18429.13636848672
2.8840315031266056E-5 ; 18216.132283558447
2.951209226666384E-5 ; 18017.71401820635
3.019951720402013E-5 ; 17814.673997731046
3.090295432513592E-5 ; 17606.90456762611
3.1622776601683795E-5 ; 17394.29556578958
3.235936569296281E-5 ; 17204.08821196004
3.3113112148259076E-5 ; 17010.220489567142
3.3884415613920276E-5 ; 16811.83700781304
3.467368504525317E-5 ; 16612.519596306134
3.5481338923357534E-5 ; 16429.48760499967
3.63078054770101E-5 ; 16242.192250932576
3.715352290971728E-5 ; 16050.534227628954
