Incident energy ; 
Incident energy ; 
Incident energy ; NP
1.0E-5 ; 2.42985
1.0115794542598983E-5 ; 2.42985
1.0232929922807536E-5 ; 2.42985
1.0351421666793431E-5 ; 2.42985
1.0471285480508985E-5 ; 2.42985
1.0592537251772876E-5 ; 2.42985
1.071519305237607E-5 ; 2.42985
1.0839269140212039E-5 ; 2.42985
1.0964781961431852E-5 ; 2.42985
1.109174815262401E-5 ; 2.42985
1.122018454301963E-5 ; 2.42985
1.1350108156723144E-5 ; 2.42985
1.1481536214968817E-5 ; 2.42985
1.1614486138403414E-5 ; 2.42985
1.1748975549395302E-5 ; 2.42985
1.188502227437019E-5 ; 2.42985
1.2022644346174132E-5 ; 2.42985
1.216186000646368E-5 ; 2.42985
1.230268770812381E-5 ; 2.42985
1.2445146117713844E-5 ; 2.42985
1.2589254117941661E-5 ; 2.42985
1.2735030810166604E-5 ; 2.42985
1.2882495516931348E-5 ; 2.42985
1.3031667784523E-5 ; 2.42985
1.3182567385564074E-5 ; 2.42985
1.333521432163324E-5 ; 2.42985
1.3489628825916533E-5 ; 2.42985
1.3645831365889238E-5 ; 2.42985
1.3803842646028839E-5 ; 2.42985
1.3963683610559363E-5 ; 2.42985
1.4125375446227526E-5 ; 2.42985
1.4288939585111037E-5 ; 2.42985
1.445439770745928E-5 ; 2.42985
1.4621771744567184E-5 ; 2.42985
1.4791083881682072E-5 ; 2.42985
1.4962356560944327E-5 ; 2.42985
1.5135612484362071E-5 ; 2.42985
1.5310874616820287E-5 ; 2.42985
1.5488166189124797E-5 ; 2.42985
1.5667510701081502E-5 ; 2.42985
1.584893192461114E-5 ; 2.42985
1.6032453906900417E-5 ; 2.42985
1.62181009735893E-5 ; 2.42985
1.6405897731995387E-5 ; 2.42985
1.6595869074375598E-5 ; 2.42985
1.6788040181225588E-5 ; 2.42985
1.6982436524617425E-5 ; 2.42985
1.7179083871575893E-5 ; 2.42985
1.7378008287493764E-5 ; 2.42985
1.757923613958693E-5 ; 2.42985
1.778279410038923E-5 ; 2.42985
1.7988709151287874E-5 ; 2.42985
1.8197008586099827E-5 ; 2.42985
1.8407720014689545E-5 ; 2.42985
1.8620871366628657E-5 ; 2.42985
1.8836490894897984E-5 ; 2.42985
1.9054607179632484E-5 ; 2.42985
1.9275249131909368E-5 ; 2.42985
1.9498445997580456E-5 ; 2.42985
1.9724227361148534E-5 ; 2.42985
1.9952623149688786E-5 ; 2.42985
2.0183663636815596E-5 ; 2.42985
2.0417379446695274E-5 ; 2.42985
2.065380155810527E-5 ; 2.42985
2.089296130854041E-5 ; 2.42985
2.1134890398366476E-5 ; 2.42985
2.1379620895022323E-5 ; 2.42985
2.1627185237270203E-5 ; 2.42985
2.187761623949552E-5 ; 2.42985
2.2130947096056366E-5 ; 2.42985
2.238721138568338E-5 ; 2.42985
2.2646443075930573E-5 ; 2.42985
2.290867652767775E-5 ; 2.42985
2.3173946499684798E-5 ; 2.42985
2.344228815319923E-5 ; 2.42985
2.3713737056616554E-5 ; 2.42985
2.39883291901949E-5 ; 2.42985
2.4266100950824144E-5 ; 2.42985
2.4547089156850286E-5 ; 2.42985
2.483133105295568E-5 ; 2.42985
2.511886431509577E-5 ; 2.42985
2.5409727055493064E-5 ; 2.42985
2.5703957827688645E-5 ; 2.42985
2.600159563165272E-5 ; 2.42985
2.6302679918953814E-5 ; 2.42985
2.6607250597988085E-5 ; 2.42985
2.691534803926914E-5 ; 2.42985
2.72270130807791E-5 ; 2.42985
2.7542287033381633E-5 ; 2.42985
2.7861211686297722E-5 ; 2.42985
2.818382931264455E-5 ; 2.42985
2.8510182675039097E-5 ; 2.42985
2.8840315031266056E-5 ; 2.42985
2.917427014001166E-5 ; 2.42985
2.951209226666384E-5 ; 2.42985
2.985382618917957E-5 ; 2.42985
3.019951720402013E-5 ; 2.42985
3.054921113215516E-5 ; 2.42985
3.090295432513592E-5 ; 2.42985
3.126079367123956E-5 ; 2.42985
3.1622776601683795E-5 ; 2.42985
3.1988951096913973E-5 ; 2.42985
3.235936569296281E-5 ; 2.42985
3.273406948788379E-5 ; 2.42985
3.3113112148259076E-5 ; 2.42985
3.3496543915782727E-5 ; 2.42985
3.3884415613920276E-5 ; 2.42985
3.427677865464505E-5 ; 2.42985
3.467368504525317E-5 ; 2.42985
3.5075187395256795E-5 ; 2.42985
3.5481338923357534E-5 ; 2.42985
3.58921934645005E-5 ; 2.42985
3.63078054770101E-5 ; 2.42985
3.6728230049808425E-5 ; 2.42985
3.715352290971728E-5 ; 2.42985
3.758374042884443E-5 ; 2.42985
3.8018939632056124E-5 ; 2.42985
3.8459178204535356E-5 ; 2.42985
3.8904514499428046E-5 ; 2.42985
3.935500754557772E-5 ; 2.42985
3.9810717055349695E-5 ; 2.42985
4.027170343254587E-5 ; 2.42985
4.07380277804113E-5 ; 2.42985
